Location,Variety,Experiment,Plot #,Rep,Plants/acre,Stems/Acre,%Inital Stand,Tons DM/acre,Avg height (in),Avg height (cm),diam_bottom,diam_top
Chippewa County,Henola,1,101-1,1,22,547611,37.12121212,2.44,35.25,89.54,4.117,3.05
Chippewa County,Earlina,1,102-2,1,31.67,788229,43.75,1.63,32.08,81.49,3.687,2.75
Chippewa County,Amaze,1,103-3,1,11.33,282103,52.75735294,2.2,33.17,84.24,4.453,3.479
Chippewa County,Vega,1,104-4,1,25.67,638880,81.81818182,4.68,33.17,84.24,4.228,2.98
Chippewa County,CFX-2,1,105-5,1,25,622286,59.5,2.8,26.33,66.89,3.99,2.775
Chippewa County,Santhica,1,106-6,1,,,,8.85,38.5,97.79,4.574,2.855
Chippewa County,NWG2463,1,107-7,1,26,647177,85.25641026,6.1,36.17,91.86,5.668,2.936
Chippewa County,NWG2730,1,108-8,1,42.67,1062034,86.47460938,6.85,41.17,104.56,4.615,2.652
Chippewa County,Fibror,1,109-9,1,64,1593051,77.24609375,10.73,46.25,117.48,4.967,3.007
Chippewa County,NWG4000,1,110-10,1,25.33,630583,112.8289474,5.86,36.92,93.77,5.287,3.357
Chippewa County,NWG4113,1,111-11,1,32,796526,81.57552083,6.43,38.83,98.64,5.155,3.305
Chippewa County,Futura,1,112-12,1,65,1617943,75.60897436,8.24,43.25,109.86,4.432,2.462
Chippewa County,Carmenecta,1,113-13,1,29.67,738446,89.46629213,10.44,63,160.02,6.551,3.732
Chippewa County,Enectarol,1,114-14,1,51.33,1277760,106.8181818,8.73,45.42,115.36,3.84,2.44
Chippewa County,Tibor,1,115-15,1,41.67,1037143,47.6,8.55,55.33,140.55,6.272,3.525
Chippewa County,Bialob,1,116-16,1,56.33,1402217,85.94674556,7.35,41.58,105.62,3.865,2.111
Chippewa County,Felina,1,117-17,1,67.67,1684320,72.4137931,6.93,43.92,111.55,4.108,2.301
Chippewa County,Ferimon,1,118-18,1,72.33,1800480,73.79032258,7.72,41,104.14,4.069,2.133
Chippewa County,Santhica,1,201-6,2,80.67,2007909,53.15082645,7.91,38.33,97.37,3.756,2.424
Chippewa County,Futura,1,202-12,2,37.33,929280,60.15625,10.29,43.33,110.07,4.907,2.813
Chippewa County,Vega,1,203-4,2,17.67,439749,114.740566,5.35,31.5,80.01,4.297,2.816
Chippewa County,Carmenecta,1,204-13,2,33,821417,50.82070707,10.22,64.5,163.83,7.284,4.029
Chippewa County,Henola,1,205-1,2,24.67,613989,91.0472973,6.17,37.75,95.89,4.57,3.043
Chippewa County,Fibror,1,206-9,2,22.33,555909,123.4141791,10.06,45.33,115.15,4.645,3.235
Chippewa County,Bialob,1,207-16,2,53,1319246,80.62106918,7.26,41.33,104.99,5.063,2.608
Chippewa County,NWG4000,1,208-10,2,26,647177,76.28205128,6.62,40.17,102.02,5.477,3.361
Chippewa County,NWG2730,1,209-8,2,32.67,813120,95.53571429,8.84,41.5,105.41,5.501,3.456
Chippewa County,Amaze,1,210-3,2,9.67,240451,73.97342995,1.59,34.5,87.63,3.848,3.413
Chippewa County,Ferimon,1,211-18,2,69.33,1725806,85.39663462,5.87,41.67,105.83,2.954,2.308
Chippewa County,Earlina,1,212-2,2,32,796526,70.63802083,3.36,35.67,90.59,3.537,2.88
Chippewa County,CFX-2,1,213-5,2,27.33,680366,60.82317073,2.4,26.42,67.1,3.708,2.957
Chippewa County,NWG2463,1,214-7,2,34,846309,76.77696078,8.95,36.17,91.86,4.526,2.706
Chippewa County,Tibor,1,215-15,2,61.67,1534971,44.69594595,6.67,54.67,138.85,4.921,2.851
Chippewa County,Felina,1,216-17,2,87,2165554,68.72605364,8.33,44.25,112.4,3.472,2.548
Chippewa County,Enectarol,1,217-14,2,58.67,1460297,56.42755682,10.91,47.33,120.23,4.382,2.092
Chippewa County,NWG4113,1,218-11,2,35.67,887794,51.92757009,7.16,40.08,101.81,5.692,3.258
Chippewa County,NWG4000,1,301-10,3,29.67,738446,61.44662921,5.09,39,99.06,4.769,3.34
Chippewa County,CFX-2,1,302-5,3,31.33,779931,68.88297872,2.14,27.67,70.27,3.697,2.624
Chippewa County,Tibor,1,303-15,3,47.67,1186491,76.79195804,6.4,55.08,139.91,4.596,3.246
Chippewa County,Futura,1,304-12,3,62,1543269,45.63172043,6.53,43.25,109.86,3.725,2.327
Chippewa County,Earlina,1,305-2,3,32.33,804823,72.16494845,3.18,32.75,83.19,3.221,2.505
Chippewa County,Amaze,1,306-3,3,46,1145006,15.85144928,2.74,33.17,84.24,3.499,3.16
Chippewa County,Henola,1,307-1,3,25.67,638880,51.70454545,3.48,37.58,95.46,3.506,2.767
Chippewa County,Vega,1,308-4,3,15.33,381669,109.375,5.61,34,86.36,5.33,3.703
Chippewa County,Bialob,1,309-16,3,58.33,1452000,77.25,8,42.25,107.32,4.593,3.075
Chippewa County,Enectarol,1,310-14,3,67.67,1684320,86.20689655,8.61,46.42,117.9,4.026,2.389
Chippewa County,Ferimon,1,311-18,3,64.33,1601349,70.27202073,5.31,41.58,105.62,3.334,2.536
Chippewa County,NWG4113,1,312-11,3,32,796526,101.6276042,6,39,99.06,4.333,2.753
Chippewa County,Felina,1,313-17,3,65,1617943,43.07692308,5.44,43.08,109.43,3.723,2.583
Chippewa County,NWG2730,1,314-8,3,42.67,1062034,78.61328125,5.75,42.42,107.74,4.429,3.123
Chippewa County,Carmenecta,1,315-13,3,14,348480,239.5833333,7.38,65.67,166.79,6.001,3.485
Chippewa County,Santhica,1,316-6,3,54.33,1352434,81.86349693,7.31,38.25,97.16,3.148,2.149
Chippewa County,NWG2463,1,317-7,3,33.67,838011,76.23762376,5.14,37.25,94.62,4.372,2.915
Chippewa County,Fibror,1,318-9,3,50.33,1252869,102.5662252,10.5,46.83,118.96,4.397,2.91
Chippewa County,Ferimon,1,401-18,4,73,1817074,78.71004566,5.78,33.42,84.88,4.074,2.745
Chippewa County,Enectarol,1,402-14,4,72.33,1800480,63.10483871,7.84,45.75,116.21,4.118,2.183
Chippewa County,Tibor,1,403-15,4,50.33,1252869,38.53476821,8.07,56.5,143.51,6.253,4.15
Chippewa County,Fibror,1,404-9,4,57,1418811,64.98538012,8.26,47.42,120.44,4.944,2.933
Chippewa County,NWG4113,1,405-11,4,43.33,1078629,79.08653846,8.02,39.83,101.18,5.191,3.18
Chippewa County,NWG2463,1,406-7,4,54.33,1352434,30.3297546,7.27,36.25,92.08,4.569,3.2
Chippewa County,Futura,1,407-12,4,62,1543269,66.80107527,8.35,44.17,112.18,3.581,2.162
Chippewa County,Bialob,1,408-16,4,42,1045440,98.95833333,5.85,42.08,106.89,3.859,2.407777778
Chippewa County,Felina,1,409-17,4,85.67,2132366,67.2422179,8.77,42.58,108.16,4.202,2.754
Chippewa County,Carmenecta,1,410-13,4,40.67,1012251,67.41803279,9.56,66.58,169.12,5.283,3.238
Chippewa County,NWG2730,1,411-8,4,42,1045440,45.83333333,6.42,42.58,108.16,5.794,3.982
Chippewa County,Earlina,1,412-2,4,33.33,829714,94.5,4.7,35.75,90.81,2.986,2.256
Chippewa County,NWG4000,1,413-10,4,26.67,663771,72.734375,6.52,38.08,96.73,5.117,27.489
Chippewa County,CFX-2,1,414-5,4,25,622286,104.4166667,4.02,27.92,70.91,3.939,3.807
Chippewa County,Henola,1,415-1,4,30.67,763337,,,,,,
Chippewa County,Vega,1,416-4,4,18,448046,108.5648148,7.44,35.08,89.11,5.587,3.743
Chippewa County,Santhica,1,417-6,4,39.33,979063,96.02754237,7.83,39.42,100.12,4.492,2.782
Chippewa County,Amaze,1,418-3,4,14,348480,54.16666667,3.73,35.75,90.81,5.15,4.084
Chippewa County,Tibor50,2,501-1,1,28,696960,105.7291667,5.01,,,4.344,
Chippewa County,Tibor60,2,502-2,1,35.33,879497,124.6462264,7.59,,,4.686,
Chippewa County,Tibor70,2,503-3,1,30.33,755040,78.84615385,4.4,,,4.297,
Chippewa County,Tibor80,2,504-4,1,59.33,1476891,96.59410112,7.24,,,4.269,
Chippewa County,Felina50,2,505-5,1,40.67,1012251,65.625,6.76,,,4.543,
Chippewa County,Felina60,2,506-6,1,51.67,1286057,97.66129032,9.16,,,3.773,
Chippewa County,Felina70,2,507-7,1,34.67,862903,140.5048077,9.4,,,3.896,
Chippewa County,Felina80,2,508-8,1,93.33,2323200,47.34375,7.26,,,4.271,
Chippewa County,Felina80,2,601-8,2,52,1294354,83.57371795,7.5,,,3.364,
Chippewa County,Tibor80,2,602-4,2,45.33,1128411,114.5220588,10.28,,,4.279,
Chippewa County,Tibor50,2,603-1,2,42.67,1062034,51.953125,8.4,,,6.147,
Chippewa County,Felina60,2,604-6,2,93.33,2323200,46.5625,10.05,,,4.147,
Chippewa County,Tibor60,2,605-2,2,39,970766,68.8034188,7.05,,,5.169,
Chippewa County,Felina50,2,606-5?,2,,,,,,,#DIV/0!,
Chippewa County,Felina70,2,607-7,2,49.33,1227977,83.9527027,7.45,,,3.839,
Chippewa County,Tibor70,2,608-3,2,93.33,2323200,27.03125,6.86,,,5.49,
Chippewa County,Tibor70,2,701-3,3,20.33,506126,149.897541,7.61,,,4.666,
Chippewa County,Tibor80,2,702-4,3,91.67,2281714,78.27272727,10.02,,,4.572,
Chippewa County,Tibor60,2,703-2,3,41.67,1037143,88.2,7.73,,,4.316,
Chippewa County,Felina60,2,704-6,3,48,1194789,90.234375,8.7,,,3.029,
Chippewa County,Felina70,2,705-7,3,65,1617943,79.42307692,7.74,,,3.712,
Chippewa County,Felina80,2,706-8,3,112,2787840,59.11458333,7.66,,,2.934,
Chippewa County,Tibor50,2,707-1,3,44,1095223,66.28787879,7.57,,,3.901,
Chippewa County,Felina50,2,708-5,3,46.67,1161600,63.4375,8.08,,,4.364,
Chippewa County,Tibor80,2,801-4,4,53,1319246,73.46698113,6.62,,,4.927,
Chippewa County,Felina70,2,802-7,4,60.67,1510080,81.73076923,7.87,,,3.735555556,
Chippewa County,Felina50,2,803-5,4,33.33,829714,74.375,8.23,,,4.132222222,
Chippewa County,Tibor60,2,804-2,4,56,1393920,92.96875,6.99,,,4.437,
Chippewa County,Felina60,2,805-6,4,34,846309,83.63970588,10.61,,,6.615,
Chippewa County,Tibor70,2,806-3,4,43,1070331,73.59496124,9.84,,,5.296,
Chippewa County,Felina80,2,807-8,4,84,2090880,51.21527778,9.39,,,4.279,
Chippewa County,Tibor50,2,808-1,4,28,696960,126.0416667,10.11,,,5.586,
Buffalo County,Henola,1,101-1,1,,105270,,3.03,50.6,128.52,8.424,
Buffalo County,Earlina,1,102-2,1,680365.71,373890,54.95426829,,43.2,109.73,4.378888889,4.743
Buffalo County,Amaze,1,103-3,1,248914.29,116160,46.66666667,1.92,35,88.9,6.084,2.765
Buffalo County,Vega,1,104-4,1,448045.71,279510,62.38425926,4.41,64.2,163.07,8.281,3.241
Buffalo County,CFX-2,1,105-5,1,257211.43,152460,59.27419355,2.39,45.4,115.32,6.467,3.241
Buffalo County,CRS-1,1,106-6,1,954171.43,580800,60.86956522,5.94,63.4,161.04,6.384,3.415
Buffalo County,NWG2463,1,107-7,1,215725.71,290400,134.6153846,4.79,58.6,148.84,7.909,3.164
Buffalo County,NWG2730,1,108-8,1,547611.43,497310,90.81439394,3.06,61.4,155.96,6.686,2.48
Buffalo County,Fibror,1,109-9,1,788228.57,722370,91.64473684,7.01,56.4,143.26,6.348,2.849
Buffalo County,NWG4000,1,110-10,1,497828.57,421080,84.58333333,4.79,68.4,173.74,8.378,2.57
Buffalo County,NWG4113,1,111-11,1,531017.14,319440,60.15625,5.12,70.8,179.83,7.51,2.905
Buffalo County,Futura75,1,112-12,1,1584754.29,707850,44.66623037,6,58.4,148.34,5.839,3.61
Buffalo County,Futura83,1,113-13,1,663771.43,337590,50.859375,9.03,110.2,279.91,10.333,3.247
Buffalo County,Santhica,1,114-14,1,489531.43,312180,63.77118644,8.39,82.6,209.8,8.695,2.417
Buffalo County,Tibor,1,115-15,1,638880,315810,49.43181818,6.49,87.6,222.5,9.725,3.71
Buffalo County,Bialob,1,116-16,1,182537.14,217800,119.3181818,3.88,59,149.86,8.122,2.961
Buffalo County,Felina32,1,117-17,1,1219680,718740,58.92857143,5.31,53.4,135.64,5.479,3.75
Buffalo County,Ferimon,1,118-18,1,979062.86,1161600,118.6440678,7.03,48.6,123.44,4.375,2.641
Buffalo County,CRS-1,1,201-6,2,672068.57,352110,52.39197531,4.98,84,213.36,8.346,2.027
Buffalo County,Futura75,1,202-12,2,912685.71,580800,63.63636364,6.38,74.8,189.99,8.102,2.85
Buffalo County,Vega,1,203-4,2,373371.43,279510,74.86111111,4.57,57,144.78,7.858,2.93
Buffalo County,Futura83,1,204-13,2,672068.57,246840,36.72839506,6.24,113.6,288.54,12.33,2.935
Buffalo County,Henola,1,205-1,2,555908.57,323070,58.11567164,2.66,51.4,130.56,6.564,2.437
Buffalo County,Fibror,1,206-9,2,779931.43,337590,43.28457447,3.54,85.4,216.92,8.803,3.206
Buffalo County,Bialob,1,207-16,2,248914.29,127050,51.04166667,2.48,61,154.94,7.658,2.548
Buffalo County,NWG4000,1,208-10,2,489531.43,715110,146.0805085,5.28,52.4,133.1,4.789,3.15
Buffalo County,NWG2730,1,209-8,2,713554.29,537240,75.29069767,3.62,78,198.12,6.758,2.896
Buffalo County,Amaze,1,210-3,2,273805.71,123420,45.07575758,3.64,49,124.46,6.001,2.417
Buffalo County,Ferimon,1,211-18,2,1169897.14,392040,33.5106383,5.41,50.2,127.51,5.768,2.802
Buffalo County,Earlina,1,212-2,2,514422.86,475530,92.43951613,0,70.8,179.83,6.521,2.822
Buffalo County,CFX-2,1,213-5,2,613988.57,214170,34.88175676,2.19,41.4,105.16,6.907,3.27
Buffalo County,NWG2463,1,214-7,2,589097.14,308550,52.37676056,3.06,54.8,139.19,6.686,2.398
Buffalo County,Tibor,1,215-15,2,589097.14,301290,51.1443662,4.26,76.6,194.56,5.946,3.284
Buffalo County,Felina32,1,216-17,2,829714.29,584430,70.4375,2.47,54.8,139.19,5.531111111,3.358
Buffalo County,Santhica,1,217-14,2,738445.71,268620,36.37640449,2.87,61.2,155.45,9.013,2.407
Buffalo County,NWG4113,1,218-11,2,1286057.14,399300,31.0483871,5.58,69,175.26,8.022,2.462222222
Buffalo County,NWG4000,1,301-10,3,522720,261360,50,0.4,73.8,187.45,8.729,2.682
Buffalo County,CFX-2,1,302-5,3,439748.57,134310,30.54245283,1.65,64.2,163.07,7.963,2.628
Buffalo County,Tibor,1,303-15,3,497828.57,348480,70,8.48,98.4,249.94,11.086,3.688
Buffalo County,Futura75,1,304-12,3,448045.71,330330,73.72685185,8.87,93.8,238.25,11.475,3.959
Buffalo County,Earlina,1,305-2,3,680365.71,301290,44.28353659,2.62,65.6,166.62,7.19,4.554
Buffalo County,Amaze,1,306-3,3,282102.86,65340,23.16176471,1.03,56.4,143.26,7.535,4.04
Buffalo County,Henola,1,307-1,3,356777.14,206910,57.99418605,2.41,69.2,175.77,7.751,3.867
Buffalo County,Vega,1,308-4,3,315291.43,221430,70.23026316,3.69,63.6,161.54,8.407,2.855
Buffalo County,Bialob,1,309-16,3,165942.86,141570,85.3125,2.01,71.2,180.85,7.462,3.12
Buffalo County,Santhica,1,310-14,3,348480,217800,62.5,5.41,96.4,244.86,8.486,3.662
Buffalo County,Ferimon,1,311-18,3,995657.14,196020,19.6875,3.95,86.8,220.47,8.898,3.227
Buffalo County,Felina32,1,313-17,3,1186491.43,381150,32.12412587,3.81,69.6,176.78,7.104,4.115
Buffalo County,NWG2730,1,314-8,3,431451.43,359370,83.29326923,2.73,87,220.98,7.198,3.598
Buffalo County,Futura83,1,315-13,3,564205.71,275880,48.89705882,7.47,115.2,292.61,12.727,3.006
Buffalo County,CRS-1,1,316-6,3,937577.14,421080,44.91150442,4.07,82,208.28,8.216,2.507
Buffalo County,NWG2463,1,317-7,3,613988.57,250470,40.79391892,3.31,79.5,201.93,9.756,3.767
Buffalo County,Fibror,1,318-9,3,1194788.57,384780,32.20486111,4.05,75,190.5,7.474444444,3.266
Buffalo County,Ferimon,1,401-18,4,655474.29,127050,19.38291139,5.71,81.2,206.25,8.36,4.103
Buffalo County,Santhica,1,402-14,4,1227977.14,301290,24.53547297,5.2,100.6,255.52,11.14,3.191111111
Buffalo County,Tibor,1,403-15,4,597394.29,243210,40.71180556,7.18,93.4,237.24,6.319,3.584
Buffalo County,Fibror,1,404-9,4,854605.71,232320,27.18446602,4.89,90,228.6,8.892,4.234
Buffalo County,NWG4113,1,405-11,4,340182.86,257730,75.76219512,3.08,80.6,204.72,8.166,2.466
Buffalo County,NWG2463,1,406-7,4,564205.71,286770,50.82720588,2.89,70.6,179.32,7.643,3.511
Buffalo County,Futura75,1,407-12,4,904388.57,421080,46.55963303,4.21,91.6,232.66,7.202,2.338
Buffalo County,Bialob,1,408-16,4,124457.14,156090,125.4166667,4.02,85.2,216.41,9.689,2.998
Buffalo County,Felina32,1,409-17,4,771634.29,413820,53.62903226,4.44,65,165.1,7.398,2.719
Buffalo County,Futura83,1,410-13,4,240617.14,127050,52.80172414,3.98,100.2,254.51,12.6,3.703
Buffalo County,NWG2730,1,411-8,4,937577.14,301290,32.13495575,3.06,80.6,204.72,8.074,3.284
Buffalo County,Earlina,1,412-2,4,829714.29,399300,48.125,7.16,63.6,161.54,8.983,4.295
Buffalo County,NWG4000,1,413-10,4,472937.14,210540,44.51754386,2.68,63.4,161.04,9.412,3.279
Buffalo County,CFX-2,1,414-5,4,315291.43,130680,41.44736842,0.88,64.2,163.07,6.59,3.568
Buffalo County,Henola,1,415-1,4,373371.43,214170,57.36111111,1.96,53.8,136.65,7.017,3.792
Buffalo County,Vega,1,416-4,4,340182.86,246840,72.56097561,3.88,67.8,172.21,8.188,3.018
Buffalo County,CRS-1,1,417-6,4,1120114.29,304920,27.22222222,2.51,68.75,174.63,7.066,2.798
Buffalo County,Amaze,1,418-3,4,282102.86,72600,25.73529412,1.29,54.6,138.68,8.089,3.502
Buffalo County,Tibor50,2,501-1,1,597394.29,283140,47.39583333,4.07,76.6,194.56,9.365,2.753
Buffalo County,Tibor60,2,502-2,1,414857.14,363000,87.5,3.58,93,236.22,8.805,
Buffalo County,Tibor70,2,503-3,1,472937.14,304920,64.47368421,5.4,91,231.14,9.297777778,
Buffalo County,Felina50,2,505-5,1,680365.71,370260,54.42073171,3.65,70.2,178.31,5.727,
Buffalo County,Felina60,2,506-6,1,663771.43,402930,60.703125,3.15,69.8,177.29,7.373,
Buffalo County,Felina70,2,507-7,1,912685.71,468270,51.30681818,3.37,68.8,174.75,5.942,
Buffalo County,Felina80,2,601-8,2,240617.14,446490,185.5603448,4.28,68.6,174.24,6.735,
Buffalo County,Tibor80,2,602-4,2,531017.14,406560,76.5625,3.72,95,241.3,7.512,
Buffalo County,Tibor50,2,603-1,2,605691.43,442860,73.11643836,4.35,76.2,193.55,5.834,
Buffalo County,Tibor60,2,605-2,2,398262.86,363000,91.14583333,4.48,83.4,211.84,8.126,
Buffalo County,Felina50,2,606-5,2,439748.57,348480,79.24528302,3.04,81.4,206.76,5.813,
Buffalo County,Felina70,2,607-7,2,622285.71,515460,82.83333333,2.44,69.2,175.77,5.199,
Buffalo County,Tibor70,2,701-3,3,647177.14,544500,84.13461538,5.51,93,236.22,8.717,
Buffalo County,Tibor80,2,702-4,3,514422.86,366630,71.27016129,7.04,98,248.92,10.636,
Buffalo County,Tibor60,2,703-2,3,431451.43,377520,87.5,2.87,86.8,220.47,7.271,
Buffalo County,Felina70,2,705-7,3,1095222.86,675180,61.64772727,4.76,81.8,207.77,8.194,
Buffalo County,Felina80,2,706-8,3,414857.14,471900,113.75,3.6,74.2,188.47,8.749,
Buffalo County,Tibor50,2,707-1,3,439748.57,471900,107.3113208,3.61,87.4,222,8.51,
